ds,1INCH,APE,BNB,BTC,DOGE,DYDX,EGLD,ETH,FET,FLOW,GT,LEO,LINK,LTC,OKB,RAY,SOL,SUN,TRX,XMR,XRP,YFI,y,unique_id,day,week,month,months_since_start,is_holiday,days_to_holiday
2022-05-16,2.9825346620469624,2.976039379723264,-0.4568213098215618,-0.4688689158858062,-0.2231643816399726,-0.1437129213108625,3.77329391774473,-0.1401183882997994,-0.7033617993068193,3.471146312387392,-0.0599670948062992,0.2463712650318578,-0.6307388451300759,-0.4143742774572304,-1.8302024210274,0.2127728222588933,-0.3105038142466433,-0.1289128066766024,-0.6743906271449507,0.844250798870794,-0.4140032925995638,1.7298287524144698,1813.5,XAU,16,20,5,0,0,14
2022-05-17,3.100570564980997,3.2453058853973302,-0.4245683197737147,-0.450499315283878,-0.1917786721984221,-0.0215763468868854,4.2325105082450944,-0.0918712143515312,-0.695341279079763,3.655376704828807,0.0988653307969903,0.2792512550096385,-0.6082380251326107,-0.0923906086536579,-1.8039121424952247,0.2374744952138049,-0.2862860333783147,-0.0868466997265795,-0.6058600015779727,1.278359137369056,-0.3757394497909679,1.7777424952623606,1818.199951171875,XAU,17,20,5,0,0,13
2022-05-18,2.8458556180803427,2.780807103943432,-0.502795906415117,-0.5167838916134679,-0.2718127026728356,0.1532410926653018,3.72634168960713,-0.2574788790789208,-0.7211416007380592,3.489519693843813,0.0179859843958863,0.232627777157548,-0.7634952602227605,-0.4691826354056426,-1.8450885241878945,0.156039603068681,-0.3733767796229051,-0.1438571458489092,-0.6360428074595538,0.3346097513521543,-0.4748966884386953,1.377817947358274,1815.9000244140625,XAU,18,20,5,0,0,12
2022-05-19,2.897268884891926,2.7817658051769603,-0.4232559377756023,-0.4634735463272137,-0.258852387689662,-0.0756597909588718,3.587519699686527,-0.1874405274147677,-0.7064979940484737,3.473279758082031,0.0140087339072149,0.2730753838762456,-0.7382637909976063,-0.2005325064079413,-1.8356631869853024,0.1270774412695433,-0.3580766758304173,-0.089751284241588,-0.5894804289836674,0.6586003455905182,-0.456687581503511,1.4270102095791424,1841.199951171875,XAU,19,20,5,0,0,11
2022-05-20,2.88991613457477,2.672157868058716,-0.4435738098615597,-0.5169544769201985,-0.293651021978867,-0.1224357987337872,3.3734066680872,-0.2593950226621854,-0.7256645209395318,3.2328808901972605,0.034739894485471,0.3065642625573178,-0.785840622467164,-0.3933495444019257,-1.8611191818294648,0.0527342015231959,-0.3914623945396576,-0.1302979409106382,-0.6484860308626383,1.4178332139087677,-0.4878943654478599,1.2789478314239142,1841.800048828125,XAU,20,20,5,0,0,10
2022-05-21,3.012107398940158,2.7071799203829867,-0.3930184733094979,-0.5143144662207969,-0.2905120320138589,-0.04071687420627636,3.4237843325600363,-0.2442596908182842,-0.7241046778869179,3.2634970620335535,0.06054050387312183,0.26787083519810495,-0.7595870372907217,-0.354526385886861,-1.8452126325051197,0.043553535239508466,-0.3886675569272535,-0.11408711334575611,-0.5728556087053275,1.6716247961217994,-0.4837787777039121,1.256754046410942,1843.800048828125,XAU,21,20,5,0,0,9
2022-05-22,3.1342986633055467,2.742201972707258,-0.3424631367574361,-0.5116744555213953,-0.28737304204885084,0.04100205032123448,3.4741619970328728,-0.229124358974383,-0.7225448348343039,3.294113233869846,0.08634111326077265,0.22917740783889212,-0.7333334521142795,-0.31570322737179624,-1.8293060831807744,0.034372868955821034,-0.38587271931484945,-0.09787628578087401,-0.4972251865480166,1.9254163783348313,-0.4796631899599642,1.2345602613979696,1845.800048828125,XAU,22,20,5,0,0,8
2022-05-23,3.256489927670935,2.7772240250315288,-0.2919078002053743,-0.5090344448219938,-0.2842340520838427,0.1227209748487453,3.524539661505709,-0.2139890271304818,-0.72098499178169,3.324729405706139,0.1121417226484235,0.1904839804796793,-0.7070798669378372,-0.2768800688567315,-1.8133995338564293,0.0251922026721336,-0.3830778817024454,-0.0816654582159919,-0.4215947643907057,2.179207960547863,-0.4755476022160164,1.2123664763849973,1847.800048828125,XAU,23,21,5,0,0,7
2022-05-24,3.3739224323132926,2.497315400078011,-0.2653647025158058,-0.4974736348915682,-0.3031984121143863,0.0411750350576337,3.532678439474493,-0.2282874226966352,-0.7299639052802036,3.23236592054683,0.0350644628543652,0.2002696917825897,-0.7117435995296818,-0.2705143421763654,-1.811765441012966,-0.0150762886620045,-0.3916940023284496,-0.0450828038821644,-0.3938371856067992,2.429681731244292,-0.4921747414898638,1.2027714343599092,1865.0999755859375,XAU,24,21,5,0,0,6
2022-05-25,3.2633077063068088,2.5126921109241622,-0.2617092720289174,-0.4857324919225989,-0.2967889643917425,0.1563407921310462,3.3249853464534302,-0.2487174777292354,-0.7323491801541379,3.122658993231961,0.0334519247676368,0.203923024002343,-0.747584497148554,-0.3933495444019257,-1.8089040548102773,-0.0148930418299948,-0.4068324469931899,0.0023391554394637,-0.2998602548842394,3.0286517040263967,-0.4981812749540039,1.0152470640195024,1846.199951171875,XAU,25,21,5,0,0,5
