ds,y,unique_id
2022-05-16,1813.5,XAU
2022-05-17,1818.199951171875,XAU
2022-05-18,1815.9000244140625,XAU
2022-05-19,1841.199951171875,XAU
2022-05-20,1841.800048828125,XAU
2022-05-21,1843.800048828125,XAU
2022-05-22,1845.800048828125,XAU
2022-05-23,1847.800048828125,XAU
2022-05-24,1865.0999755859375,XAU
2022-05-25,1846.199951171875,XAU
2022-05-26,1847.4000244140625,XAU
2022-05-27,1851.300048828125,XAU
2022-05-28,1849.1500244140625,XAU
2022-05-29,1847.0,XAU
2022-05-30,1844.8499755859375,XAU
2022-05-31,1842.699951171875,XAU
2022-06-01,1843.300048828125,XAU
2022-06-02,1866.5,XAU
2022-06-03,1845.4000244140625,XAU
2022-06-04,1843.3333333333333,XAU
2022-06-05,1841.2666422526042,XAU
2022-06-06,1839.199951171875,XAU
2022-06-07,1847.5,XAU
2022-06-08,1851.9000244140625,XAU
2022-06-09,1848.800048828125,XAU
2022-06-10,1871.5,XAU
2022-06-11,1857.0,XAU
2022-06-12,1842.5,XAU
2022-06-13,1828.0,XAU
2022-06-14,1809.5,XAU
2022-06-15,1815.300048828125,XAU
2022-06-16,1845.699951171875,XAU
2022-06-17,1835.5999755859375,XAU
2022-06-18,1835.3499755859375,XAU
2022-06-19,1835.0999755859375,XAU
2022-06-20,1834.8499755859375,XAU
2022-06-21,1834.5999755859375,XAU
2022-06-22,1834.300048828125,XAU
2022-06-23,1825.699951171875,XAU
2022-06-24,1826.5,XAU
2022-06-25,1824.6333414713542,XAU
2022-06-26,1822.7666829427083,XAU
2022-06-27,1820.9000244140625,XAU
2022-06-28,1817.5,XAU
2022-06-29,1813.699951171875,XAU
2022-06-30,1804.0999755859375,XAU
2022-07-01,1798.9000244140625,XAU
2022-07-02,1789.6250305175781,XAU
2022-07-03,1780.3500366210938,XAU
2022-07-04,1771.0750427246094,XAU
2022-07-05,1761.800048828125,XAU
2022-07-06,1734.9000244140625,XAU
2022-07-07,1737.9000244140625,XAU
2022-07-08,1740.5999755859375,XAU
2022-07-09,1737.066650390625,XAU
2022-07-10,1733.5333251953125,XAU
2022-07-11,1730.0,XAU
2022-07-12,1723.300048828125,XAU
2022-07-13,1734.199951171875,XAU
2022-07-14,1704.5,XAU
2022-07-15,1702.4000244140625,XAU
2022-07-16,1704.6666666666667,XAU
2022-07-17,1706.9333089192708,XAU
2022-07-18,1709.199951171875,XAU
2022-07-19,1710.0,XAU
2022-07-20,1699.5,XAU
2022-07-21,1712.699951171875,XAU
2022-07-22,1727.0999755859375,XAU
2022-07-23,1724.3999837239583,XAU
2022-07-24,1721.6999918619792,XAU
2022-07-25,1719.0,XAU
2022-07-26,1717.699951171875,XAU
2022-07-27,1719.0999755859375,XAU
2022-07-28,1750.300048828125,XAU
2022-07-29,1762.9000244140625,XAU
2022-07-30,1764.933349609375,XAU
2022-07-31,1766.9666748046875,XAU
2022-08-01,1769.0,XAU
2022-08-02,1771.0999755859375,XAU
2022-08-03,1758.0,XAU
2022-08-04,1788.5,XAU
2022-08-05,1772.9000244140625,XAU
2022-08-06,1777.5333658854167,XAU
2022-08-07,1782.1667073567708,XAU
2022-08-08,1786.800048828125,XAU
2022-08-09,1794.0,XAU
2022-08-10,1795.5999755859375,XAU
2022-08-11,1789.699951171875,XAU
2022-08-12,1798.5999755859375,XAU
2022-08-13,1792.8666585286458,XAU
2022-08-14,1787.1333414713542,XAU
2022-08-15,1781.4000244140625,XAU
2022-08-16,1773.199951171875,XAU
2022-08-17,1760.300048828125,XAU
2022-08-18,1755.300048828125,XAU
2022-08-19,1747.5999755859375,XAU
2022-08-20,1743.066650390625,XAU
2022-08-21,1738.5333251953125,XAU
2022-08-22,1734.0,XAU
2022-08-23,1746.800048828125,XAU
2022-08-24,1747.800048828125,XAU
2022-08-25,1757.699951171875,XAU
2022-08-26,1736.0999755859375,XAU
2022-08-27,1736.2666422526042,XAU
2022-08-28,1736.4333089192708,XAU
2022-08-29,1736.5999755859375,XAU
2022-08-30,1723.199951171875,XAU
2022-08-31,1712.800048828125,XAU
2022-09-01,1696.5999755859375,XAU
2022-09-02,1709.800048828125,XAU
2022-09-03,1707.4500427246094,XAU
2022-09-04,1705.1000366210938,XAU
2022-09-05,1702.7500305175781,XAU
2022-09-06,1700.4000244140625,XAU
2022-09-07,1715.300048828125,XAU
2022-09-08,1708.0,XAU
2022-09-09,1716.199951171875,XAU
2022-09-10,1720.1666259765625,XAU
2022-09-11,1724.13330078125,XAU
2022-09-12,1728.0999755859375,XAU
2022-09-13,1705.0,XAU
2022-09-14,1696.5,XAU
2022-09-15,1665.4000244140625,XAU
2022-09-16,1671.699951171875,XAU
2022-09-17,1669.8666178385417,XAU
2022-09-18,1668.0332845052083,XAU
2022-09-19,1666.199951171875,XAU
2022-09-20,1659.699951171875,XAU
2022-09-21,1664.5999755859375,XAU
2022-09-22,1670.800048828125,XAU
2022-09-23,1645.300048828125,XAU
2022-09-24,1637.9667154947917,XAU
2022-09-25,1630.6333821614583,XAU
2022-09-26,1623.300048828125,XAU
2022-09-27,1626.699951171875,XAU
2022-09-28,1660.4000244140625,XAU
2022-09-29,1658.5,XAU
2022-09-30,1662.4000244140625,XAU
2022-10-01,1672.5666910807292,XAU
2022-10-02,1682.7333577473958,XAU
2022-10-03,1692.9000244140625,XAU
2022-10-04,1721.0999755859375,XAU
2022-10-05,1711.4000244140625,XAU
2022-10-06,1711.699951171875,XAU
2022-10-07,1700.5,XAU
2022-10-08,1689.433349609375,XAU
2022-10-09,1678.36669921875,XAU
2022-10-10,1667.300048828125,XAU
2022-10-11,1678.699951171875,XAU
2022-10-12,1670.300048828125,XAU
2022-10-13,1670.0,XAU
2022-10-14,1641.699951171875,XAU
2022-10-15,1646.7999674479167,XAU
2022-10-16,1651.8999837239583,XAU
2022-10-17,1657.0,XAU
2022-10-18,1649.0,XAU
2022-10-19,1627.5,XAU
2022-10-20,1630.800048828125,XAU
2022-10-21,1651.0,XAU
2022-10-22,1650.2333170572917,XAU
2022-10-23,1649.4666341145833,XAU
2022-10-24,1648.699951171875,XAU
2022-10-25,1652.800048828125,XAU
2022-10-26,1664.0,XAU
2022-10-27,1660.699951171875,XAU
2022-10-28,1639.5999755859375,XAU
2022-10-29,1638.3666585286458,XAU
2022-10-30,1637.1333414713542,XAU
2022-10-31,1635.9000244140625,XAU
2022-11-01,1645.0,XAU
2022-11-02,1645.699951171875,XAU
2022-11-03,1627.300048828125,XAU
2022-11-04,1672.5,XAU
2022-11-05,1673.8333333333333,XAU
2022-11-06,1675.1666666666667,XAU
2022-11-07,1676.5,XAU
2022-11-08,1712.0999755859375,XAU
2022-11-09,1710.0999755859375,XAU
2022-11-10,1750.300048828125,XAU
2022-11-11,1766.0,XAU
2022-11-12,1768.5333251953125,XAU
2022-11-13,1771.066650390625,XAU
2022-11-14,1773.5999755859375,XAU
2022-11-15,1773.800048828125,XAU
2022-11-16,1773.0,XAU
2022-11-17,1760.800048828125,XAU
2022-11-18,1751.9000244140625,XAU
2022-11-19,1747.0666910807292,XAU
2022-11-20,1742.2333577473958,XAU
2022-11-21,1737.4000244140625,XAU
2022-11-22,1738.300048828125,XAU
2022-11-23,1744.9000244140625,XAU
2022-11-24,1749.1000366210938,XAU
2022-11-25,1753.300048828125,XAU
2022-11-26,1748.9000244140625,XAU
2022-11-27,1744.5,XAU
2022-11-28,1740.0999755859375,XAU
2022-11-29,1748.4000244140625,XAU
2022-11-30,1746.0,XAU
2022-12-01,1801.0999755859375,XAU
2022-12-02,1795.9000244140625,XAU
2022-12-03,1786.4000244140625,XAU
2022-12-04,1776.9000244140625,XAU
2022-12-05,1767.4000244140625,XAU
2022-12-06,1769.300048828125,XAU
2022-12-07,1785.5,XAU
2022-12-08,1788.699951171875,XAU
2022-12-09,1798.0999755859375,XAU
2022-12-10,1792.2333170572917,XAU
2022-12-11,1786.3666585286458,XAU
2022-12-12,1780.5,XAU
2022-12-13,1813.9000244140625,XAU
2022-12-14,1807.5,XAU
2022-12-15,1777.199951171875,XAU
2022-12-16,1790.0,XAU
2022-12-17,1789.2333170572917,XAU
2022-12-18,1788.4666341145833,XAU
2022-12-19,1787.699951171875,XAU
2022-12-20,1815.9000244140625,XAU
2022-12-21,1815.9000244140625,XAU
2022-12-22,1787.0,XAU
2022-12-23,1795.9000244140625,XAU
2022-12-24,1800.6250305175781,XAU
2022-12-25,1805.3500366210938,XAU
2022-12-26,1810.0750427246094,XAU
2022-12-27,1814.800048828125,XAU
2022-12-28,1807.9000244140625,XAU
2022-12-29,1819.5,XAU
2022-12-30,1819.699951171875,XAU
2022-12-31,1824.699951171875,XAU
2023-01-01,1829.699951171875,XAU
2023-01-02,1834.699951171875,XAU
2023-01-03,1839.699951171875,XAU
2023-01-04,1852.800048828125,XAU
2023-01-05,1834.800048828125,XAU
2023-01-06,1864.199951171875,XAU
2023-01-07,1867.0332845052083,XAU
2023-01-08,1869.8666178385417,XAU
2023-01-09,1872.699951171875,XAU
2023-01-10,1871.5999755859375,XAU
2023-01-11,1874.5999755859375,XAU
2023-01-12,1895.5,XAU
2023-01-13,1918.4000244140625,XAU
2023-01-14,1915.6000061035156,XAU
2023-01-15,1912.7999877929688,XAU
2023-01-16,1909.9999694824219,XAU
2023-01-17,1907.199951171875,XAU
2023-01-18,1904.4000244140625,XAU
2023-01-19,1922.0999755859375,XAU
2023-01-20,1926.4000244140625,XAU
2023-01-21,1926.6333414713542,XAU
2023-01-22,1926.8666585286458,XAU
2023-01-23,1927.0999755859375,XAU
2023-01-24,1933.9000244140625,XAU
2023-01-25,1941.199951171875,XAU
2023-01-26,1929.0999755859375,XAU
2023-01-27,1928.5999755859375,XAU
2023-01-28,1926.6999918619792,XAU
2023-01-29,1924.8000081380208,XAU
2023-01-30,1922.9000244140625,XAU
2023-01-31,1929.5,XAU
2023-02-01,1927.800048828125,XAU
2023-02-02,1916.300048828125,XAU
2023-02-03,1862.9000244140625,XAU
2023-02-04,1864.0,XAU
2023-02-05,1865.0999755859375,XAU
2023-02-06,1866.199951171875,XAU
2023-02-07,1871.699951171875,XAU
2023-02-08,1877.4000244140625,XAU
2023-02-09,1866.199951171875,XAU
2023-02-10,1862.800048828125,XAU
2023-02-11,1859.1667073567708,XAU
2023-02-12,1855.5333658854167,XAU
2023-02-13,1851.9000244140625,XAU
2023-02-14,1854.0,XAU
2023-02-15,1834.199951171875,XAU
2023-02-16,1842.0,XAU
2023-02-17,1840.4000244140625,XAU
2023-02-18,1838.5500183105469,XAU
2023-02-19,1836.7000122070312,XAU
2023-02-20,1834.8500061035156,XAU
2023-02-21,1833.0,XAU
2023-02-22,1832.0,XAU
2023-02-23,1818.0,XAU
2023-02-24,1808.800048828125,XAU
2023-02-25,1811.5333658854167,XAU
2023-02-26,1814.2666829427083,XAU
2023-02-27,1817.0,XAU
2023-02-28,1828.9000244140625,XAU
2023-03-01,1837.699951171875,XAU
2023-03-02,1833.5,XAU
2023-03-03,1847.699951171875,XAU
2023-03-04,1847.7666422526042,XAU
2023-03-05,1847.8333333333333,XAU
2023-03-06,1847.9000244140625,XAU
2023-03-07,1813.9000244140625,XAU
2023-03-08,1812.699951171875,XAU
2023-03-09,1829.300048828125,XAU
2023-03-10,1862.0,XAU
2023-03-11,1878.566650390625,XAU
2023-03-12,1895.13330078125,XAU
2023-03-13,1911.699951171875,XAU
2023-03-14,1906.199951171875,XAU
2023-03-15,1926.5999755859375,XAU
2023-03-16,1919.0,XAU
2023-03-17,1969.800048828125,XAU
2023-03-18,1972.933349609375,XAU
2023-03-19,1976.066650390625,XAU
2023-03-20,1979.199951171875,XAU
2023-03-21,1938.0,XAU
2023-03-22,1946.800048828125,XAU
2023-03-23,1993.800048828125,XAU
2023-03-24,1982.0999755859375,XAU
2023-03-25,1972.1999918619792,XAU
2023-03-26,1962.3000081380208,XAU
2023-03-27,1952.4000244140625,XAU
2023-03-28,1972.4000244140625,XAU
2023-03-29,1966.0999755859375,XAU
