ds,y,unique_id,day,week,month,months_since_start,is_holiday,days_to_holiday
2022-05-16,1813.5,XAU,16,20,5,0,0,14
2022-05-17,1818.199951171875,XAU,17,20,5,0,0,13
2022-05-18,1815.9000244140625,XAU,18,20,5,0,0,12
2022-05-19,1841.199951171875,XAU,19,20,5,0,0,11
2022-05-20,1841.800048828125,XAU,20,20,5,0,0,10
2022-05-21,1843.800048828125,XAU,21,20,5,0,0,9
2022-05-22,1845.800048828125,XAU,22,20,5,0,0,8
2022-05-23,1847.800048828125,XAU,23,21,5,0,0,7
2022-05-24,1865.0999755859375,XAU,24,21,5,0,0,6
2022-05-25,1846.199951171875,XAU,25,21,5,0,0,5
2022-05-26,1847.4000244140625,XAU,26,21,5,0,0,4
2022-05-27,1851.300048828125,XAU,27,21,5,0,0,3
2022-05-28,1849.1500244140625,XAU,28,21,5,0,0,2
2022-05-29,1847.0,XAU,29,21,5,0,0,1
2022-05-30,1844.8499755859375,XAU,30,22,5,0,1,21
2022-05-31,1842.699951171875,XAU,31,22,5,0,0,20
2022-06-01,1843.300048828125,XAU,1,22,6,1,0,19
2022-06-02,1866.5,XAU,2,22,6,1,0,18
2022-06-03,1845.4000244140625,XAU,3,22,6,1,0,17
2022-06-04,1843.3333333333333,XAU,4,22,6,1,0,16
2022-06-05,1841.2666422526042,XAU,5,22,6,1,0,15
2022-06-06,1839.199951171875,XAU,6,23,6,1,0,14
2022-06-07,1847.5,XAU,7,23,6,1,0,13
2022-06-08,1851.9000244140625,XAU,8,23,6,1,0,12
2022-06-09,1848.800048828125,XAU,9,23,6,1,0,11
2022-06-10,1871.5,XAU,10,23,6,1,0,10
2022-06-11,1857.0,XAU,11,23,6,1,0,9
2022-06-12,1842.5,XAU,12,23,6,1,0,8
2022-06-13,1828.0,XAU,13,24,6,1,0,7
2022-06-14,1809.5,XAU,14,24,6,1,0,6
2022-06-15,1815.300048828125,XAU,15,24,6,1,0,5
2022-06-16,1845.699951171875,XAU,16,24,6,1,0,4
2022-06-17,1835.5999755859375,XAU,17,24,6,1,0,3
2022-06-18,1835.3499755859375,XAU,18,24,6,1,0,2
2022-06-19,1835.0999755859375,XAU,19,24,6,1,0,1
2022-06-20,1834.8499755859375,XAU,20,25,6,1,1,14
2022-06-21,1834.5999755859375,XAU,21,25,6,1,0,13
2022-06-22,1834.300048828125,XAU,22,25,6,1,0,12
2022-06-23,1825.699951171875,XAU,23,25,6,1,0,11
2022-06-24,1826.5,XAU,24,25,6,1,0,10
2022-06-25,1824.6333414713542,XAU,25,25,6,1,0,9
2022-06-26,1822.7666829427083,XAU,26,25,6,1,0,8
2022-06-27,1820.9000244140625,XAU,27,26,6,1,0,7
2022-06-28,1817.5,XAU,28,26,6,1,0,6
2022-06-29,1813.699951171875,XAU,29,26,6,1,0,5
2022-06-30,1804.0999755859375,XAU,30,26,6,1,0,4
2022-07-01,1798.9000244140625,XAU,1,26,7,2,0,3
2022-07-02,1789.6250305175781,XAU,2,26,7,2,0,2
2022-07-03,1780.3500366210938,XAU,3,26,7,2,0,1
2022-07-04,1771.0750427246094,XAU,4,27,7,2,1,63
2022-07-05,1761.800048828125,XAU,5,27,7,2,0,62
2022-07-06,1734.9000244140625,XAU,6,27,7,2,0,61
2022-07-07,1737.9000244140625,XAU,7,27,7,2,0,60
2022-07-08,1740.5999755859375,XAU,8,27,7,2,0,59
2022-07-09,1737.066650390625,XAU,9,27,7,2,0,58
2022-07-10,1733.5333251953125,XAU,10,27,7,2,0,57
2022-07-11,1730.0,XAU,11,28,7,2,0,56
2022-07-12,1723.300048828125,XAU,12,28,7,2,0,55
2022-07-13,1734.199951171875,XAU,13,28,7,2,0,54
2022-07-14,1704.5,XAU,14,28,7,2,0,53
2022-07-15,1702.4000244140625,XAU,15,28,7,2,0,52
2022-07-16,1704.6666666666667,XAU,16,28,7,2,0,51
2022-07-17,1706.9333089192708,XAU,17,28,7,2,0,50
2022-07-18,1709.199951171875,XAU,18,29,7,2,0,49
2022-07-19,1710.0,XAU,19,29,7,2,0,48
2022-07-20,1699.5,XAU,20,29,7,2,0,47
2022-07-21,1712.699951171875,XAU,21,29,7,2,0,46
2022-07-22,1727.0999755859375,XAU,22,29,7,2,0,45
2022-07-23,1724.3999837239583,XAU,23,29,7,2,0,44
2022-07-24,1721.6999918619792,XAU,24,29,7,2,0,43
2022-07-25,1719.0,XAU,25,30,7,2,0,42
2022-07-26,1717.699951171875,XAU,26,30,7,2,0,41
2022-07-27,1719.0999755859375,XAU,27,30,7,2,0,40
2022-07-28,1750.300048828125,XAU,28,30,7,2,0,39
2022-07-29,1762.9000244140625,XAU,29,30,7,2,0,38
2022-07-30,1764.933349609375,XAU,30,30,7,2,0,37
2022-07-31,1766.9666748046875,XAU,31,30,7,2,0,36
2022-08-01,1769.0,XAU,1,31,8,3,0,35
2022-08-02,1771.0999755859375,XAU,2,31,8,3,0,34
2022-08-03,1758.0,XAU,3,31,8,3,0,33
2022-08-04,1788.5,XAU,4,31,8,3,0,32
2022-08-05,1772.9000244140625,XAU,5,31,8,3,0,31
2022-08-06,1777.5333658854167,XAU,6,31,8,3,0,30
2022-08-07,1782.1667073567708,XAU,7,31,8,3,0,29
2022-08-08,1786.800048828125,XAU,8,32,8,3,0,28
2022-08-09,1794.0,XAU,9,32,8,3,0,27
2022-08-10,1795.5999755859375,XAU,10,32,8,3,0,26
2022-08-11,1789.699951171875,XAU,11,32,8,3,0,25
2022-08-12,1798.5999755859375,XAU,12,32,8,3,0,24
2022-08-13,1792.8666585286458,XAU,13,32,8,3,0,23
2022-08-14,1787.1333414713542,XAU,14,32,8,3,0,22
2022-08-15,1781.4000244140625,XAU,15,33,8,3,0,21
2022-08-16,1773.199951171875,XAU,16,33,8,3,0,20
2022-08-17,1760.300048828125,XAU,17,33,8,3,0,19
2022-08-18,1755.300048828125,XAU,18,33,8,3,0,18
2022-08-19,1747.5999755859375,XAU,19,33,8,3,0,17
2022-08-20,1743.066650390625,XAU,20,33,8,3,0,16
2022-08-21,1738.5333251953125,XAU,21,33,8,3,0,15
2022-08-22,1734.0,XAU,22,34,8,3,0,14
2022-08-23,1746.800048828125,XAU,23,34,8,3,0,13
2022-08-24,1747.800048828125,XAU,24,34,8,3,0,12
2022-08-25,1757.699951171875,XAU,25,34,8,3,0,11
2022-08-26,1736.0999755859375,XAU,26,34,8,3,0,10
2022-08-27,1736.2666422526042,XAU,27,34,8,3,0,9
2022-08-28,1736.4333089192708,XAU,28,34,8,3,0,8
2022-08-29,1736.5999755859375,XAU,29,35,8,3,0,7
2022-08-30,1723.199951171875,XAU,30,35,8,3,0,6
2022-08-31,1712.800048828125,XAU,31,35,8,3,0,5
2022-09-01,1696.5999755859375,XAU,1,35,9,4,0,4
2022-09-02,1709.800048828125,XAU,2,35,9,4,0,3
2022-09-03,1707.4500427246094,XAU,3,35,9,4,0,2
2022-09-04,1705.1000366210938,XAU,4,35,9,4,0,1
2022-09-05,1702.7500305175781,XAU,5,36,9,4,1,35
2022-09-06,1700.4000244140625,XAU,6,36,9,4,0,34
2022-09-07,1715.300048828125,XAU,7,36,9,4,0,33
2022-09-08,1708.0,XAU,8,36,9,4,0,32
2022-09-09,1716.199951171875,XAU,9,36,9,4,0,31
2022-09-10,1720.1666259765625,XAU,10,36,9,4,0,30
2022-09-11,1724.13330078125,XAU,11,36,9,4,0,29
2022-09-12,1728.0999755859375,XAU,12,37,9,4,0,28
2022-09-13,1705.0,XAU,13,37,9,4,0,27
2022-09-14,1696.5,XAU,14,37,9,4,0,26
2022-09-15,1665.4000244140625,XAU,15,37,9,4,0,25
2022-09-16,1671.699951171875,XAU,16,37,9,4,0,24
2022-09-17,1669.8666178385417,XAU,17,37,9,4,0,23
2022-09-18,1668.0332845052083,XAU,18,37,9,4,0,22
2022-09-19,1666.199951171875,XAU,19,38,9,4,0,21
2022-09-20,1659.699951171875,XAU,20,38,9,4,0,20
2022-09-21,1664.5999755859375,XAU,21,38,9,4,0,19
